trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
45,False,"{'a': 0.95, 'e': 0.09944025698709225}",20,8,21.815043832824067,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
46,False,"{'a': 0.95, 'e': 0.09446824413773763}",35,21,27.314357695274083,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
47,False,"{'a': 0.95, 'e': 0.08974483193085075}",20,11,17.7658550520855,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
48,False,"{'a': 0.95, 'e': 0.0852575903343082}",25,11,27.13919761615083,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
49,False,"{'a': 0.95, 'e': 0.0809947108175928}",30,13,28.26477657687641,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
50,False,"{'a': 0.95, 'e': 0.07694497527671315}",25,10,31.731525175148224,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
51,False,"{'a': 0.95, 'e': 0.07309772651287749}",20,10,18.634308217520953,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
52,False,"{'a': 0.95, 'e': 0.06944284018723361}",20,6,22.032775924143813,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
53,False,"{'a': 0.95, 'e': 0.06597069817787193}",20,12,16.416932816434688,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
54,False,"{'a': 0.95, 'e': 0.06267216326897833}",25,11,26.44355767638493,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
55,False,"{'a': 0.95, 'e': 0.05953855510552941}",20,8,20.412261392065474,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
56,False,"{'a': 0.95, 'e': 0.056561627350252934}",25,12,25.54489960445008,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
57,False,"{'a': 0.95, 'e': 0.053733545982740286}",25,14,17.44862484019662,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
58,False,"{'a': 0.95, 'e': 0.051046868683603266}",25,10,29.954599951935318,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
